exception_id,type,requester,approver,department,justification,start_date,end_date,status,risk_level,review_requested_date
EXC-0001,background_check_pending,paul.miller,it.director,IT Infrastructure,Disaster recovery drill access,2026-01-20,2026-04-01,EXPIRED,MEDIUM,
EXC-0002,vendor_access_waiver,noah.brown,manager.001,HR,Database migration support for project 741,2025-08-15,2025-10-03,REVOKED,HIGH,
EXC-0003,admin_access,grace.brown,platform.lead,Legal,New hire onboarding pending background check completion,2025-12-06,2026-04-25,ACTIVE,HIGH,
EXC-0004,admin_access,jack.clark,compliance.officer,Engineering,Vendor SOC 2 audit data extraction,2026-02-08,2026-05-04,ACTIVE,HIGH,
EXC-0005,encryption_waiver,mia.chen,it.director,Sales,Legacy system compatibility during migration to v960,2025-11-08,2026-05-03,ACTIVE,HIGH,
EXC-0006,data_access_exception,sara.doe,compliance.officer,IT Infrastructure,Production troubleshooting for incident INC-185,2025-11-20,2025-12-21,REVOKED,HIGH,
EXC-0007,vendor_access_waiver,infra.team,platform.lead,Sales,Vendor SOC 2 audit data extraction,2025-09-04,2026-04-19,ACTIVE,HIGH,
EXC-0008,encryption_waiver,olivia.doe,alice.smith,Legal,Business need,2026-02-25,2026-04-01,RENEWAL_REQUESTED,HIGH,2026-03-07
EXC-0009,firewall_rule_open,dev.lead,security.lead,Sales,Short-term fix,2025-06-12,2025-09-06,EXPIRED,MEDIUM,
EXC-0010,data_access_exception,kelly.garcia,bob.jones,Finance,Disaster recovery drill access,2026-03-29,2026-08-06,ACTIVE,HIGH,
EXC-0011,data_access_exception,frank.jones,manager.001,Operations,Emergency,2025-10-07,2026-06-25,ACTIVE,MEDIUM,
EXC-0012,vendor_access_waiver,security.ops,alice.smith,Security,Legacy system compatibility during migration to v851,2026-02-19,2026-07-18,ACTIVE,HIGH,
EXC-0013,dev_environment_exception,henry.lewis,it.director,Security,Quarterly penetration test access window,2025-09-27,2025-11-11,EXPIRED,LOW,
EXC-0014,encryption_waiver,grace.clark,compliance.officer,Legal,Legacy issue,2025-07-17,2025-10-01,EXPIRED,HIGH,
EXC-0015,encryption_waiver,jack.brown,ciso.office,Customer Support,Database migration support for project 761,2025-11-22,2026-07-30,ACTIVE,HIGH,
EXC-0016,vendor_access_waiver,john.jones,ciso.office,Sales,New hire onboarding pending background check completion,2025-11-29,2026-03-23,RENEWAL_REQUESTED,HIGH,2026-02-21
EXC-0017,encryption_waiver,paul.wilson,compliance.officer,Customer Support,Vendor SOC 2 audit data extraction,2026-02-25,2026-06-04,ACTIVE,HIGH,
EXC-0018,admin_access,victor.garcia,manager.001,Sales,Quarterly penetration test access window,2026-03-31,2026-04-30,ACTIVE,HIGH,
EXC-0019,firewall_rule_open,data.eng,alice.smith,Customer Support,Business need,2025-05-12,2025-08-04,REVOKED,MEDIUM,
EXC-0020,vendor_access_waiver,tom.lewis,bob.jones,Engineering,Integration with Partner Ltd API gateway,2026-02-21,2026-09-07,ACTIVE,HIGH,
